EventTitle,DateTime,WeightClass,RedCorner,BlueCorner,RedCornerNation,BlueCornerNation
Hermansson vs Strickland,"
Sat, Feb 5 / 7:00 PM EST / Main Card
",Middleweight Bout,Punahele Soriano,Nick Maximov,United States,United States
Hermansson vs Strickland,"
Sat, Feb 5 / 7:00 PM EST / Main Card
",Middleweight Bout,Jack Hermansson,Sean Strickland,Ukraine,Canada
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Women's Flyweight Bout,Kay Hansen,Jasmine Jasudavicius,France,Cameroon
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Women's Strawweight Bout,Silvana Gomez Juarez ,Vanessa Demopoulos,Brazil,Mexico
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Lightweight Bout,Matt Frevola,Genaro Valdez,Portugal,Brazil
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Bantamweight Bout,Tony Gravely,Saimon Oliveira,Russia,United States
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Welterweight Bout,Jack Della Maddalena,Pete Rodriguez,United States,Ecuador
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Bantamweight Bout,Raoni Barcelos,Victor Henry,United States,Brazil
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Welterweight Bout,Michael Morales,Trevin Giles,United States,Australia
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Bantamweight Bout,Cody Stamann,Said Nurmagomedov,Brazil,United States
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Welterweight Bout,Michel Pereira,Andre Fialho,Mexico,United States
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Flyweight Title Bout,Brandon Moreno,Deiveson Figueiredo,United States,Argentina
Ngannou vs Gane,"
Sat, Jan 22 / 10:00 PM EST / Main Card
",Heavyweight Title Bout,Francis Ngannou,Ciryl Gane,Canada,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Lightweight Bout,TJ Brown,Charles Rosa,Georgia,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Featherweight Bout,Brian Kelleher,Kevin Croom,United States,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Welterweight Bout,Court McGee,Ramiz Brahimaj,Brazil,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Middleweight Bout,Jamie Pickett,Joseph Holmes,Brazil,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Featherweight Bout,Bill Algeo,Joanderson Brito,Russia,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Lightweight Bout,Dakota Bush,Viacheslav Borshchev,Brazil,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Women's Flyweight Bout,Katlyn Chookagian,Jennifer Maia,United States,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Flyweight Bout,Brandon Royval,Rogerio Bontorin,Kosovo,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Heavyweight Bout,Jake Collier,Chase Sherman,United States,United States
Kattar vs Chikadze,"
Sat, Jan 15 / 7:00 PM EST / Main Card
",Featherweight Bout,Calvin Kattar,Giga Chikadze,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Lightweight Bout,Jordan Leavitt,Matt Sayles,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Heavyweight Bout,Dontale Mayes,Josh Parisian,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Women's Featherweight Bout,Raquel Pennington,Macy Chiasson,United States,Brazil
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Featherweight Bout,Charles Jourdain,Andre Ewell,United States,Brazil
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Women's Flyweight Bout,Sijara Eubanks,Melissa Gatto,Poland,Brazil
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Heavyweight Bout,Justin Tafa,Harry Hunsucker,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Middleweight Bout,Dustin Stoltzfus,Gerald Meerschaert,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Featherweight Bout,Cub Swanson,Darren Elkins,United States,New Zealand
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Lightweight Bout,Diego Ferreira,Mateusz Gamrot,Brazil,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Bantamweight Bout,Raphael Assunção,Ricky Simon,United States,Canada
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Women's Strawweight Bout,Amanda Lemos,Angela Hill,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Welterweight Bout,Stephen Thompson,Belal Muhammad,United States,United States
Lewis vs Daukaus,"
Sat, Dec 18 / 7:00 PM EST / Main Card
",Heavyweight Bout,Derrick Lewis,Chris Daukaus,United States,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Women's Flyweight Bout,Gillian Robertson,Priscila Cachoeira,United States,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Bantamweight Bout,Randy Costa,Tony Kelley,United States,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Featherweight Bout,Ryan Hall,Darrick Minner,Argentina,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Women's Flyweight Bout,Miranda Maverick,Erin Blanchfield,United States,New Zealand
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Middleweight Bout,Andre Muniz,Eryk Anders,United States,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Middleweight Bout,Jordan Wright,Bruno Silva,United States,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Heavyweight Bout,Augusto Sakai,Tai Tuivasa,United States,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Bantamweight Bout,Pedro Munhoz,Dominick Cruz,Australia,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Featherweight Bout,Josh Emmett,Dan Ige,Brazil,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Bantamweight Bout,Raulian Paiva,Sean O'Malley,United States,Brazil
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Flyweight Bout,Kai Kara-France,Cody Garbrandt,United States,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Welterweight Bout,Geoff Neal,Santiago Ponzinibbio,United States,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Women's Bantamweight Title Bout,Amanda Nunes,Julianna Peña,United States,United States
Oliveira vs Poirier,"
Sat, Dec 11 / 10:00 PM EST / Main Card
",Lightweight Title Bout,Charles Oliveira,Dustin Poirier,Brazil,Canada
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Bantamweight Bout,Louis Smolka,Vince Morales,Brazil,Puerto Rico
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Lightweight Bout,Claudio Puelles,Chris Gruetzemacher,Azerbaijan,New Zealand
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Light Heavyweight Bout,Alonzo Menifield,William Knight,United States,Australia
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Women's Strawweight Bout,Cheyanne Vlismas,Mallory Martin,Brazil,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Welterweight Bout,Bryan Barberena,Darian Weeks,United States,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Flyweight Bout,Manel Kape,Zhalgas Zhumagulov,United States,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Middleweight Bout,Maki Pitolo,Duško Todorović,Serbia,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Welterweight Bout,Alex Morono,Mickey Gall,Kazakhstan,Portugal
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Middleweight Bout,Brendan Allen,Chris Curtis,United States,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Lightweight Bout,Clay Guida,Leonardo Santos,United States,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Light Heavyweight Bout,Jimmy Crute,Jamahal Hill,United States,United States
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Lightweight Bout,Brad Riddell,Rafael Fiziev,United States,Peru
Font vs Aldo,"
Sat, Dec 4 / 10:00 PM EST / Main Card
",Bantamweight Bout,Rob Font,José Aldo,United States,United States
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Women's Strawweight Bout,Luana Pinheiro,Sam Hughes,United States,Brazil
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Featherweight Bout,Shayilan Nuerdanbieke,Sean Soriano,United States,United States
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Flyweight Bout,Cody Durden,Aoriqileng,Brazil,Scotland
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Women's Strawweight Bout,Loma Lookboonmee,Loopy Godinez,South Korea,Brazil
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Lightweight Bout,Rafa Garcia,Natan Levy,United States,England
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Featherweight Bout,Pat Sabatini,Tucker Lutz,United States,United States
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Bantamweight Bout,Davey Grant,Adrian Yanez,Israel,Mexico
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Bantamweight Bout,Rani Yahya,Kyung Ho Kang,Mexico,Thailand
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Women's Flyweight Bout,Joanne Wood,Taila Santos,China,United States
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Welterweight Bout,Michael Chiesa,Sean Brady,United States,China
Vieira vs Tate,"
Sat, Nov 20 / 6:00 PM EST / Main Card
",Women's Bantamweight Bout,Ketlen Vieira,Miesha Tate,United States,Brazil
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Light Heavyweight Bout,Kennedy Nzechukwu,Da Woon Jung,Mexico,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Lightweight Bout,Marc Diakiese,Rafael Alves,Brazil,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Women's Flyweight Bout,Cortney Casey,Liana Jojua,United States,Canada
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Featherweight Bout,Sean Woodson,Collin Anglin,United States,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Women's Flyweight Bout,Cynthia Calvillo,Andrea Lee,United States,China
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Lightweight Bout,Thiago Moises,Joel Álvarez,Spain,Brazil
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Bantamweight Bout,Song Yadong,Julio Arce,United States,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Welterweight Bout,Miguel Baeza,Khaos Williams,United States,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Women's Featherweight Bout,Felicia Spencer,Leah Letson,Georgia,United States
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Heavyweight Bout,Ben Rothwell,Marcos Rogerio de Lima,Brazil,England
Holloway vs Rodriguez,"
Sat, Nov 13 / 4:00 PM EST / Main Card
",Featherweight Bout,Max Holloway,Yair Rodriguez,South Korea,Nigeria
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Flyweight Bout,CJ Vergara,Ode' Osbourne,United States,Nigeria
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Featherweight Bout,Melsik Baghdasaryan,Bruno Souza,China,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Light Heavyweight Bout,Dustin Jacoby,John Allan,Ecuador,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Heavyweight Bout,Gian Villante,Chris Barnett,United States,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Welterweight Bout,Ian Machado Garry,Jordan Williams,United States,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Middleweight Bout,Edmen Shahbazyan,Nassourdine Imavov,Greece,Brazil
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Middleweight Bout,Phil Hawes,Chris Curtis,United States,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Lightweight Bout,Al Iaquinta,Bobby Green,United States,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Middleweight Bout,Alex Pereira,Andreas Michailidis,France,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Lightweight Bout,Justin Gaethje,Michael Chandler,United States,Ireland
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Featherweight Bout,Shane Burgos,Billy Quarantillo,Spain,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Frankie Edgar,Marlon Vera,Brazil,United States
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Women's Strawweight Title Bout,Rose Namajunas,Zhang Weili,Brazil,Armenia
Usman vs Covington,"
Sat, Nov 6 / 10:00 PM EDT / Main Card
",Welterweight Title Bout,Kamaru Usman,Colby Covington,Jamaica,United States
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Flyweight Bout,Tagir Ulanbekov,Allan Nascimento,Brazil,Poland
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Middleweight Bout,Hu Yaozong,Andre Petroski,United States,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Featherweight Bout,Makwan Amirkhani,Lerone Murphy,New Zealand,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Light Heavyweight Bout,Shamil Gamzatov,Michal Oleksiejczuk,Poland,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Welterweight Bout,Elizeu Zaleski dos Santos,Benoît Saint-Denis ,Sweden,China
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Middleweight Bout,Albert Duraev,Roman Kopylov,Switzerland,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Featherweight Bout,Ricardo Ramos,Zubaira Tukhugov,Brazil,Brazil
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Women's Strawweight Bout,Amanda Ribas,Virna Jandiroba,Russia,Brazil
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Light Heavyweight Bout,Magomed Ankalaev,Volkan Oezdemir,Russia,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Welterweight Bout,Li Jingliang,Khamzat Chimaev,France,Brazil
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Heavyweight Bout,Alexander Volkov,Marcin Tybura,Poland,Russia
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Lightweight Bout,Islam Makhachev,Dan Hooker,England,Finland
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Bantamweight Interim Title Bout,Petr Yan,Cory Sandhagen,United States,China
Blachowicz vs Teixeira,"
Sat, Oct 30 / 2:00 PM EDT / Main Card
",Light Heavyweight Title Bout,Jan Błachowicz,Glover Teixeira,Brazil,Russia
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Bantamweight Bout,Jonathan Martinez,Zviad Lazishvili,Italy,Brazil
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Women's Strawweight Bout,Livinha Souza,Randa Markos,United States,United States
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Flyweight Bout,Jeffrey Molina,Daniel Lacerda,Panama,Australia
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Lightweight Bout,Khama Worthy,Jai Herbert,South Korea,United States
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Middleweight Bout,Jamie Pickett,Laureano Staropoli,United States,Brazil
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Women's Strawweight Bout,Tabatha Ricci,Maria Oliveira,United States,Romania
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Lightweight Bout,Mason Jones,David Onama,Brazil,South Korea
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Middleweight Bout,Junyong Park,Gregory Rodrigues,Uganda,United Kingdom
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Light Heavyweight Bout,Nicolae Negumereanu,Ike Villanueva,Brazil,Brazil
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Welterweight Bout,Francisco Trinaldo,Dwight Grant,Argentina,United States
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Featherweight Bout,Alex Caceres,Seungwoo Choi,England,United States
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Women's Bantamweight Bout,Jessica-Rose Clark,Joselyne Edwards,Brazil,United States
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Lightweight Bout,Grant Dawson,Ricky Glenn,Canada,Brazil
Costa vs Vettori,"
Sat, Oct 23 / 4:00 PM EDT / Main Card
",Light Heavyweight Bout,Paulo Costa,Marvin Vettori,Georgia,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Women's Strawweight Bout,Istela Nunes,Ariane Carnelossi,Brazil,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Batgerel Danaa,Brandon Davis,Brazil,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Loopy Godinez,Luana Carolina,United States,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Welterweight Bout,Danny Roberts,Ramazan Emeev,Brazil,France
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Middleweight Bout,Andrew Sanchez,Bruno Silva,Slovakia,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Featherweight Bout,Nate Landwehr,Ludovit Klein,Brazil,United States
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Manon Fiorot,Mayra Bueno Silva,Russia,England
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Lightweight Bout,Jim Miller,Erick Gonzalez,Brazil,Mexico
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Andrei Arlovski,Carlos Felipe,United States,Mongolia
Ladd vs Dumont,"
Sat, Oct 16 / 7:00 PM EDT / Main Card
",Women's Featherweight Bout,Aspen Ladd,Norma Dumont,Brazil,Brazil
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Lightweight Bout,Steve Garcia,Charlie Ontiveros,Brazil,Brazil
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Women's Strawweight Bout,Loopy Godinez,Silvana Gomez Juarez ,United States,Jamaica
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Featherweight Bout,Charles Rosa,Damon Jackson,Brazil,United States
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Heavyweight Bout,Alexandr Romanov,Jared Vanderaa,Kazakhstan,Colombia
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Bantamweight Bout,Chris Gutierrez,Felipe Colares,Brazil,United States
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Women's Flyweight Bout,Sabina Mazo,Mariya Agapova,United States,Moldova
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Flyweight Bout,Tim Elliott,Matheus Nicolau,United States,United States
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Welterweight Bout,Randy Brown,Jared Gooden,Argentina,Mexico
Dern vs Rodriguez,"
Sat, Oct 9 / 4:00 PM EDT / Main Card
",Women's Strawweight Bout,Mackenzie Dern,Marina Rodriguez,United States,United States
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Alejandro Pérez,Johnny Eduardo,Brazil,Brazil
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Women's Bantamweight Bout,Stephanie Egger,Shanna Young,United States,United States
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Douglas Silva de Andrade,Gaetano Pirrello,United States,Brazil
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Lightweight Bout,Devonte Smith,Jamie Mullarkey,Poland,Canada
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Women's Bantamweight Bout,Bethe Correia,Karol Rosa,United States,United States
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Antonina Shevchenko,Casey O'Neill,United States,United States
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Lightweight Bout,Joe Solecki,Jared Gordon,Australia,Kyrgyzstan
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Lightweight Bout,Alexander Hernandez,Mike Breeden,Brazil,Brazil
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Middleweight Bout,Misha Cirkunov,Krzysztof Jotko,Australia,United States
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Welterweight Bout,Alex Oliveira,Niko Price,Belgium,Brazil
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Middleweight Bout,Kevin Holland,Kyle Daukaus,United States,Switzerland
Santos vs Walker,"
Sat, Oct 2 / 7:00 PM EDT / Main Card
",Light Heavyweight Bout,Thiago Santos,Johnny Walker,Brazil,Mexico
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Featherweight Bout,Jonathan Pearce,Omar Morales,United States,Australia
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Welterweight Bout,Matthew Semelsberger,Martin Sano,United States,Kyrgyzstan
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Middleweight Bout,Cody Brundage,Nick Maximov,United States,United States
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Lightweight Bout,Uroš Medić,Jalin Turner,Suriname,United States
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Women's Flyweight Bout,Roxanne Modafferi,Taila Santos,United States,Brazil
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Heavyweight Bout,Shamil Abdurakhimov,Chris Daukaus,Georgia,Brazil
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Lightweight Bout,Dan Hooker,Nasrat Haqparast,Morocco,New Zealand
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Marlon Moraes,Merab Dvalishvili,United States,Russia
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Women's Flyweight Bout,Jessica Andrade,Cynthia Calvillo,Brazil,United States
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Heavyweight Bout,Curtis Blaydes,Jairzinho Rozenstruik,United States,Serbia
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Middleweight Bout,Nick Diaz,Robbie Lawler,United States,United States
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Women's Flyweight Title Bout,Valentina Shevchenko,Lauren Murphy,United States,United States
Volkanovski vs Ortega,"
Sat, Sep 25 / 10:00 PM EDT / Main Card
",Featherweight Title Bout,Alexander Volkanovski,Brian Ortega,Venezuela,United States
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Emily Whitmire,Hannah Goldy,United States,United States
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Gustavo Lopez,Alatengheili,United States,Moldova
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Welterweight Bout,Impa Kasanganay,Carlston Harris,Germany,Brazil
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Erin Blanchfield,Sarah Alpar,United States,Armenia
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Montel Jackson,JP Buys,United States,United States
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Lightweight Bout,Rong Zhu,Brandon Jenkins,Brazil,United States
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Women's Bantamweight Bout,Pannie Kianzad,Raquel Pennington,Cameroon,United States
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Light Heavyweight Bout,Mike Rodriguez,Tafon Nchukwi,United States,Sweden
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Middleweight Bout,Joaquin Buckley,Antonio Arroyo,United States,China
Smith vs Spann,"
Sat, Sep 18 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Nate Maness,Tony Gravely,South Africa,United States
